title,res
"mean income (25-30) / mean income (all)",.9587796
"mean income (31-35) / mean income (all)",.9789285
"mean income (36-40) / mean income (all)",1.022989
"mean income (41-45) / mean income (all)",1.068151
"mean income (46-50) / mean income (all)",1.093016
"mean income (51-55) / mean income (all)",1.282952
"mean income (56-60) / mean income (all)",1.09351
"mean income (61-65) / mean income (all)",.9194877
"mean income (66-70) / mean income (all)",.900969
"mean income (71-75) / mean income (all)",.6512353
"mean income (76-80) / mean income (all)",.6091025
"mean income (81-85) / mean income (all)",.7702307
"Wealth to income (25-30) ",.6947895
"Wealth to income (31-35) ",.8361391
"Wealth to income (36-40) ",.8476046
"Wealth to income (41-45) ",1.203037
"Wealth to income (46-50) ",1.283205
"Wealth to income (51-55) ",1.402881
"Wealth to income (56-60) ",1.876014
"Wealth to income (61-65) ",2.352198
"Wealth to income (66-70) ",2.496143
"Wealth to income (71-75) ",4.105141
"Wealth to income (76-80) ",4.343814
"Wealth to income (81-85) ",3.147426
"Housing value to income (25-30) ",1.15632
"Housing value to income (31-35) ",1.439013
"Housing value to income (36-40) ",1.443128
"Housing value to income (41-45) ",1.803629
"Housing value to income (46-50) ",1.851327
"Housing value to income (51-55) ",1.878242
"Housing value to income (56-60) ",2.227446
"Housing value to income (61-65) ",2.342186
"Housing value to income (66-70) ",2.356939
"Housing value to income (71-75) ",3.391911
"Housing value to income (76-80) ",3.215624
"Housing value to income (81-85) ",2.129249
"Housing wealth to income (25-30) ",.410316
"Housing wealth to income (31-35) ",.4573882
"Housing wealth to income (36-40) ",.5145057
"Housing wealth to income (41-45) ",.8477935
"Housing wealth to income (46-50) ",.8533104
"Housing wealth to income (51-55) ",1.065332
"Housing wealth to income (56-60) ",1.430568
"Housing wealth to income (61-65) ",1.618946
"Housing wealth to income (66-70) ",1.698878
"Housing wealth to income (71-75) ",2.971358
"Housing wealth to income (76-80) ",3.032463
"Housing wealth to income (81-85) ",1.996996
