title,res
"Fraction of Homeowners ",.64
"Mean   Wealth (all) / Mean Income (all)",1.45
"Mean   House (all) / Mean Income (all)",1.82
"Mean mortgage debt/Mean Income",.83
"Fraction borrowers who extract",.08
"Mean   Liq Assets (all) /Mean Income (all)   ",.46
"Median liq assets (all) / mean income (all)",.07
"Median liq assets (own) / mean income (all)",.53
"Median liq assets (own) / mean income (all)",.15
"fraction hand-to-mouth",.41
"fraction hand-to-mouth homeowners",.32
"90 pct liq assets (own) / mean income (all)",1.69
"mean wealth retirees to workers",2
"mean wealth (25-30) / mean wealth (all)",.46
