title,res
"Fraction of Homeowners ",.62
"Mean   Wealth (all) / Mean Income (all)",1.35
"Mean   House (all) / Mean Income (all)",1.83
"Mean mortgage debt/Mean Income",.83
"Mean   Liq Assets (all) /Mean Income (all)   ",.36
"Median liq assets (all) / mean income (all)",.05
"Median liq assets (own) / mean income (all)",.42
"Median liq assets (own) / mean income (all)",.11
"fraction hand-to-mouth",.45
"fraction hand-to-mouth homeowners",.36
"90 pct liq assets (own) / mean income (all)",1.3
"mean wealth retirees to workers",2.21
