quarter,year,q,gdp,unemp,t
2010Q1,2010,1,16582.71,9.8333,1
2010Q2,2010,2,16743.162,9.6333,2
2010Q3,2010,3,16872.266,9.4667,3
2010Q4,2010,4,16960.864,9.5,4
2011Q1,2011,1,16920.632,9.0333,5
2011Q2,2011,2,17035.114,9.0667,6
2011Q3,2011,3,17031.313,9.0,7
2011Q4,2011,4,17222.583,8.6333,8
2012Q1,2012,1,17367.01,8.2667,9
2012Q2,2012,2,17444.525,8.2,10
2012Q3,2012,3,17469.65,8.0333,11
2012Q4,2012,4,17489.852,7.8,12
2013Q1,2013,1,17662.4,7.7333,13
2013Q2,2013,2,17709.671,7.5333,14
2013Q3,2013,3,17860.45,7.2333,15
2013Q4,2013,4,18016.147,6.9333,16
2014Q1,2014,1,17953.974,6.6667,17
2014Q2,2014,2,18185.911,6.2,18
2014Q3,2014,3,18406.941,6.0667,19
2014Q4,2014,4,18500.031,5.7,20
2015Q1,2015,1,18666.621,5.5333,21
2015Q2,2015,2,18782.243,5.4333,22
2015Q3,2015,3,18857.418,5.1,23
2015Q4,2015,4,18892.206,5.0333,24
2016Q1,2016,1,19001.69,4.9,25
2016Q2,2016,2,19062.709,4.9333,26
2016Q3,2016,3,19197.938,4.9,27
2016Q4,2016,4,19304.352,4.7667,28
2017Q1,2017,1,19398.343,4.5667,29
2017Q2,2017,2,19506.949,4.3667,30
2017Q3,2017,3,19660.766,4.3333,31
2017Q4,2017,4,19882.352,4.1667,32
2018Q1,2018,1,20044.077,4.0333,33
2018Q2,2018,2,20150.476,3.9333,34
2018Q3,2018,3,20276.154,3.7667,35
2018Q4,2018,4,20304.874,3.8333,36
2019Q1,2019,1,20431.641,3.8667,37
2019Q2,2019,2,20602.275,3.6333,38
2019Q3,2019,3,20843.322,3.6,39
2019Q4,2019,4,20985.448,3.6,40
2020Q1,2020,1,20709.212,3.8333,41
2020Q2,2020,2,19077.992,13.0,42
2020Q3,2020,3,20558.879,8.8,43
2020Q4,2020,4,20791.917,6.7667,44
2021Q1,2021,1,21082.134,6.2333,45
2021Q2,2021,2,21440.929,5.9333,46
2021Q3,2021,3,21617.828,5.0667,47
2021Q4,2021,4,21988.737,4.1667,48
2022Q1,2022,1,21932.71,3.8667,49
2022Q2,2022,2,21967.045,3.6333,50
2022Q3,2022,3,22125.625,3.5333,51
2022Q4,2022,4,22278.345,3.5667,52
2023Q1,2023,1,22439.607,3.5333,53
2023Q2,2023,2,22580.499,3.5333,54
2023Q3,2023,3,22840.989,3.6333,55
2023Q4,2023,4,23033.78,3.8,56
2024Q1,2024,1,23082.119,3.8333,57
2024Q2,2024,2,23286.508,3.9667,58
2024Q3,2024,3,23478.57,4.1667,59
2024Q4,2024,4,23586.542,4.1333,60
2025Q1,2025,1,23548.21,4.1333,61
2025Q2,2025,2,23770.976,4.2,62
2025Q3,2025,3,24026.834,4.3333,63
2025Q4,2025,4,24055.749,4.45,64
2026Q1,2026,1,24180.419,4.3333,65
